key,source,Translation
31E4690D4B1BE43D6F7D218E9ABDBBC2,0.019,0.019
54601E5740E16236BD2691A867568F56,0.02,0.02
5108184E4254CD248481E49EA287C5FE,1 Month,一个月
A84FF45C452A7B3749CD96B5EAC1CF57,1 Week,一周
17090BA24A8F1AC7EDCCDB8B724E87DD,1 Year,1 年
B665AC494C81906D2F69999E9DD0D8E0,1 hour,1 小时
873C9B624DCF4847D6FE0589B08B2782,1 minute,1 分钟
0BE5974641BF4F3550C49FAF336A103B,1.5 Months,1.5 个月
77A222E941C6D9991A94EDB88B5706E6,1.5 Years,1.5 年
B1AB3E9242231E5D317E8BB0EF186450,10% likelier to find rare items while scavenging.,在探索过程中发现稀有物品的概率将提高 10%.
5542E538411DF5F4E646608AA9D5D95B,12 Gauge Round,12 发计量弹
8A9513DF4B69A68D681CAA82724B975B,15 minutes,15 分钟
EE73B1714E7B4722A4E620BD664FCFB1,16,16
C010775B41EBC68A24A900A5A4F3349E,2 Months,2 个月
980E04604C2851D96DBE2BA89F232A70,2 lockpicks remaining,剩余两个锁芯
9FBC1CA04AE02094353431BEBD43395C,3 Months,3 个月
B7294B82465DEAEBBF7D53ADC3FB7895,30 minutes,30 分钟
AFFFB2974C8B094FBE9AE19614908727,5 Days,5 天
6FEBB0DF425F8A691FAAF2926A4D4CC2,5 minutes,5 分钟
F015570D42CD3A105C0FEEACFFC4C284,5.56mm Round,5.56 毫米子弹
BDE5CBB548B5FD9CEA9B10A337136F0F,5.7x28mm Round,5.7x28 毫米子弹
7D6AE4B34737E8F96086139AD4DB7406,50% fall damage.,坠落伤害 50%.
B9816492436B190E761A55841A51D2F7,50% less likely to break your arms or legs.,手脚骨折的可能性降低 50%.
2E18FC1C4056F9024F9437876A2ED1E1,50% less tiredness from jumping.,跳跃疲劳减少 50%.
A658902D452F799C35654097452CB8FF,50% less tiredness from melee weapons.,近距离武器造成的疲劳减少 50%.
18761A5D451E98816DB0F5A5951925D1,50% reduction to all incoming damage.,所有受到的伤害减少 50%.
44DF35D24ECD9954CA3496B544A093CB,57,57
45B5A316401B8CB342DE0C999648E355,6 Months,6 个月
656F21754C6EA34B8EF0248A8AD268BF,7.62mm Round,7.62 毫米子弹
34DB129A4777C0A70EFAF5B2912AAF09,9 Months,九个月
4494CC7143D5823C0388C1A525F8F68F,93.4 Broadcast Station,93.4 广播电台
7877EDFF475D0A7FA4E50AB99FE626D4,93.4 Broadcast Station,93.4 广播电台
948C388F485165CF2C6A9FAE51033F4D,95.2 Golden Days,95.2 Golden Days
13E77D75E5E746DAA1FC60C3181EA5ED,9mm Round,9 毫米子弹
4BEC5909477A3BCAC2C4FE97A171C24E,"<Link to=""{URL}"">Read more here.</>","<Link to=""{URL}"">请在此处查看详细信息。</>"
5B2CD6FF4AA41580556072961985CAD7,A BBQ Fajita.,烧烤法希塔。
E049C279434197426578D7992041F8F3,A Lightless Bog,一个无光的沼泽
BA42EC05491BAC5DE45E7E941DAE5841,A LoneStar 1911 magazine. Holds .45 ACP Rounds.,LoneStar 1911 弹匣.可装填.45 ACP 子弹。
671185BF4E1450C423AFB7A6F25B7414,A P9 magazine. Holds 5.7x28mm rounds.,P9 弹匣.可装填 5.7x28 毫米子弹。
1D1630074BFA6E1121038FB234B18BD9,A Turkish beef kebap.,土耳其风格的烤牛肉串。
F492C3FE4E34010A61E53FA312BA9D61,A UN Fifty-Seven magazine. Holds 5.7x28mm Rounds.,UN57 弹匣.可装填 5.7x28 毫米子弹。
5A0764C547EF3F9AEA7F37A7D7A61D7B,A Wolfram 17 magazine. Holds 9mm Rounds.,Wolfram 17 用弹匣.可装填 9 毫米子弹。
334B0E18426C3FB0EC5ABEB2371A9C05,A baby plant that failed to grow.,生长失败的幼苗。
33A285CE485C845326C4C89701B2BD6F,A baby plant that hasn't grown yet.,还未成长的幼苗。
AC583C614F9327339767C795A6267990,A bag full of flour.,装满面粉的袋子。
F31909564254806CE7F1E2BEB70E0754,A bag full of yeast.,装满东西的袋子.
2476436A4F299A67771D4FABC8C6CBEE,A bag of animal feed.,装有动物饲料的袋子.
374B8A9C4E4E1786E1B4CDB5CE0547C0,A bag of animal feed.,装有动物饲料的袋子.
3CCC6F56437438784FBE06BCF429ACCC,A bag of animal feed.,装有动物饲料的袋子.
6780EA0847D69D4195098FACA0D21008,A bag of animal feed.,装有动物饲料的袋子.
7F92E8794D1D9AD783D604BD3AE86F9C,A bag of coffee grounds.,一袋咖啡豆.
A6CF74A840B5369B84CC208765C13750,A bag of compost.,装有堆肥的袋子.
95A6E6DB49E191F74711258F7893864F,A bag of concrete mix. <cf><cf>Useful in crafting.,混凝土混合物袋。<cf><cf>对制造很有帮助。
B8C8EA574247998C23685FA541177264,A bag of dry cat food.,一袋干猫粮.
CBAB99E143DC45C4A0C7059036A2BF85,A bag of dry dog food.,一袋干粮.
87446CCC4D41CE9E0BEC808823D30DF2,A bag of flash-frozen fries.,一袋快速冷冻的薯条.
F63C3996489F51475C826C8C19275F82,A bag of hot dog buns.,一袋热狗面包.
342A3BAA4CB5931AD9243780296EE752,A bag of rice. Would be better if it was cooked.,一袋米.煮熟更好吃.
A8DC8252449C82690BD2DEAE540DCB98,A bag of rice. Would be better if it was cooked.,一袋米.煮熟更好吃.
187170B5444B54D4AF2A2C8CE71EEE13,A bag of standard quality planting soil.,标准质量的种植用土壤袋.
6EBFC3994D8FB4AE542C03A773597B3E,A bag of sugar. Would be better if used in cooking. ,一袋砂糖.用来做料理的话会更好吃吧.
AD2D0A124F886BA4535122974417970A,A baguette.,法棍面包.
039F842E4F27D0B6BB24E384CDBCCA2F,A ball of steel wool.<cf><cf>Can be used to strip rust off of cars.,一个钢丝绒球。<cf><cf>可用于去除汽车上的锈迹。
A93DC15B43EF7068D80275B3CC7A7A30,A banana.,香蕉。
DBEF627C42355D059AE33E9239A2C56E,A bandana.,头巾。
983839EF46A790C543B9EF90CA1BB15C,A bar frequented by veterans.,退伍军人经常光顾的酒吧。
9D92659942E700C1920B51834D489FE4,A bar frequented by veterans.,退伍军人经常光顾的酒吧。
9B292D6A4CEECBFC225E8492122F0D7B,A bar of soap.,一块肥皂。
835AF49149E8C6A1D7C26297C864DE07,A barber shop.,理发店。
891E80CE491CAEC8AC191CA796D78D7D,A barcode scanner. Used to scan barcodes.,条形码扫描仪.用于扫描条形码。
6E0601FD444209352F664285C60DE870,A baseball diamond.,棒球场。
7388AA47430EB58C5B2010BD818F53D7,A baseball hat.,棒球帽.
00A4861A424B6E4BAFFC29BE27E4B2FB,"A basic bandage.<cf><cf>Used to cover deep wounds, stop bleeding, and prevent infection. ",一种基础绷带。<cf><cf>用于覆盖深部伤口、止血和预防感染。
776CBCA448513309D5C7CA86C519C4AA,"A basic bandage.<cf><cf>Used to cover deep wounds, stop bleeding, and prevent infection. ",一种基础绷带。<cf><cf>用于覆盖深部伤口、止血和预防感染。
950D76C24BDE2DAB46539DB2425B6954,A basic hammer.,基本的锤子.
AA38C3C2474A10D98E8DDFBEF33FC889,A basic respirator.,基本的人工呼吸器.
0B677B62413B7D105FF842B350D24E09,A basic screwdriver.,一把基本的螺丝刀。
BCBC67BB44A340C084D2EB87635EA3EE,A basic sponge used for cleaning dishes.,用于洗碗的基本海绵.
7A7BAE574E780779155DECAFB0EEC578,A basic walkie talkie. <cf><cf>Allows for cross-map communication within a certain range.,一部基础对讲机。<cf><cf>允许在一定范围内进行远程对话。
EC8A741C40C385041C9163B4B1A4F435,"A battery used for power tools. <cf><cf>Battery will deplete energy as it's being used, but can be recharged.",用于电动工具的电池。<cf><cf>电池在使用过程中会耗尽电量，但可以充电。
E2DE2D8243937E33D75A3C88D0ECC56C,A battery used to power some smaller electronics.,用于为一些较小的电子设备供电的电池。
10CF81BB451D7F3DDF59DBB75C0FE2D2,A beef enchilada.,牛肉卷饼.
E7759465488ECA628EE5D2BC5A9593EC,"A beer bottle, usually has beer in it.",啤酒瓶.通常装的是啤酒.
965C0418432FD24DABDDF3B1825D2082,"A beer bottle, usually has beer in it.<cf><cf>A pseudo-imported European beer, sold internationally and bottled in hundreds of different countries.",一个啤酒瓶，通常里面有啤酒。<cf><cf>一种伪进口的欧洲啤酒，在国际上销售，在数百个不同的国家装瓶。
DE701A944F157B10A47970AB281FD89F,"A beer bottle, usually has beer in it.<cf><cf>Cerveza Higado is an imported Mexican lager, known for ads featuring tropical beaches and day drinking.",一个啤酒瓶，通常里面有啤酒。<cf><cf>Cerveza Higado是一种进口的墨西哥拉格啤酒，以热带海滩和日间饮酒的广告而闻名。
4DD657F34B6342597902F0A5D7F28CC0,"A beer bottle, usually has beer in it.<cf><cf>Cheap, uniform, and flat. It gets the job done.",一个啤酒瓶，通常里面有啤酒。<cf><cf>便宜、统一、平淡。这样就足够了。
613E2D9440FFDAF9362537809F63EAE9,"A beer bottle, usually has beer in it.<cf><cf>Comes from a small microbrewery based in NYC. Double the alcohol content, triple the price.",一个啤酒瓶，通常里面有啤酒。<cf><cf>来自纽约市的一家小型地方啤酒厂。酒精含量翻倍，价格翻三倍。
87349B60421812E26C3147817F6AEEAA,A beret.,贝雷帽.
F6CAB6DE4A78B0BADBB9E1AAF4744BE6,A bit warmer than a T-shirt.,比 T 恤稍微暖和一点.
54C2AAA945D11A8D16EC84A057A0C710,A blood pressure cuff.,血压计的卡夫.
6536A43C465CE9D991F4D280FBC396C6,A blue binder.,蓝色活页夹.
B8EA69054444C1EDF7ECC2B301FDD44D,A bone scraper.,削骨器.
9B702DC44F5EBE15511B62A924A93915,"A bottle of bleach, usually has bleach in it.",漂白剂瓶子通常含有漂白剂.
121024AD447340C3D7C5748FD06C33AF,"A bottle of car oil, usually has car oil in it.<cf><cf>Essential to keep car engines happy and healthy!",一个汽车机油瓶，通常里面有汽车机油。<cf><cf>保持汽车发动机正常运转必不可少！
CCB70A5F4447D4D4508FD187DA5E0658,"A bottle of cold medicine, usually contains cold medicine.<cf><cf>Can help reduce symptoms of colds. Makes recovery from colds occur twice as fast.",一个感冒药的瓶子。通常里面装有感冒药。<cf><cf>有助于减轻感冒症状。使感冒的恢复速度加快一倍。
476CF87248B493608A765585D53EEE95,"A bottle of conditioner, specifically made for dogs or cats, usually has conditioner in it.",一瓶专门为狗或猫做的护发素，通常里面有护发素。
0E08BE954E5538FAD279F5A36F9314F3,A bottle of cooking oil. Would be better if used in cooking.,一瓶食用油。可以用来做菜。
EFDCE3D745DC113540A2CD8A7284CD5A,"A bottle of detergent, usually has detergent in it. Can be used to clean clothing.",洗涤剂的瓶子.通常装有洗涤剂.可以用来洗衣服.
63F570EA46A53FF7FDD745AC58230DDD,"A bottle of fabric softener, usually has fabric softener in it.",柔顺剂的瓶子通常含有柔顺剂.
FE899DEF440BC8504DDF9EB4A037D412,"A bottle of glass cleaner, usually has glass cleaner in it.",玻璃清洁剂的瓶子通常装有玻璃清洁剂.
DDC8240E4312AFE4F42E7699F772399A,"A bottle of glue, usually has glue in it.<cf><cf>Useful in crafting.",一瓶粘合剂，通常里面有粘合剂。<cf><cf>在制造中很有用。
2CCE6F494A3401DD0376CBA3B00E43DE,"A bottle of hair growth serum, usually has serum in it.",养发美容液的瓶子里装的是普通美容液.
067DE50440E1AFEA6092D88872C4643D,"A bottle of hand soap, usually has hand soap in it. Can be used to disinfect smaller wounds.",洗手液瓶.通常装有洗手液.可用于消毒小伤口.
727C8F594385A502686EAA99EE2E2CFB,"A bottle of hot sauce, usually has hot sauce in it.",热酱油瓶通常装有热酱.
E65D7CED415DF9B19C0D24A505B58F45,"A bottle of ketchup, usually has ketchup in it.",番茄酱瓶子里装的是普通番茄酱.
05CAA668445595663607A7A09A2C1404,"A bottle of pet purfume, usually has perfume in it.",宠物香水瓶.通常里面装有香水.
707D33464D0D19404FC8BEA2C7E07036,"A bottle of ranch, usually has ranch in it.",午餐瓶通常装有午餐.
B66C7A02445AE8897333D0BF2D093CA2,"A bottle of shampoo, specifically made for dogs or cats, usually has shampoo in it.",专门为狗和猫制作的洗发水瓶通常装有洗发水.
90BA9604443A2AC0460FCAABFE2B261F,"A bottle of shampoo, usually has shampoo in it.",洗发水瓶.通常装有洗发水.
AB4D2B9D4F629264FE1CD298352D2DE8,A bottle of sunscreen.,防晒霜的瓶子.
AD6F82144A0BC127428438821EDEA7CD,"A bottle of toilet cleaner, usually has toilet cleaner in it.",厕所清洁剂瓶.通常含有厕所清洁剂.
2F0742894576D25B9D84B3ABECFD848F,A bottle of toothpaste. Minty!,牙粉瓶.薄荷味！
543EDD17454C2C155F6A99B9CC8288FE,"A bottle, usually with water in it.",通常是装有水的瓶子.
45A367FD48D1DCE1A65D279CACB6DF8E,"A bow, for firing arrows.",用来射箭的弓.
638B000B4FB397732AC24EA5994A53C7,A bowl of cheese fondue.,奶酪火锅碗.
2E9A22CB40EDBC8BF686EBB4ADBE4849,A bowl of chocolate fondue.,巧克力奶油蛋糕球.
F6DB1843452C57342F5AFB8B391814E3,A bowl of jambalaya.,一杯姜饼.
C4A8920048DD95EBBA10B78EFD1953CA,A bowl of rice pilaf.,一杯肉末饭.
2690AE1A4691916CDBBB99ADF51A825B,A bowl of risotto.,一杯意式烩饭.
66A1796D4D26BC75E5B1B4A31FF12C72,A bowl of soup.,一碗汤.
6AAEE1064294577D0A4A0C8361036DA1,A bowl of soup.,一碗汤.
6E481A99479152D8D7C8AE823CE10739,A bowl of soup.,一碗汤.
BC3677834DD1C645F559229630F7157F,A bowl of soup.,一碗汤.
F70293234AB2523117689CB4FC24553E,A bowl of soup.,一碗汤.
F9F9FA244C26788057B9AEA20E490C55,A bowl of spaghetti carbonara.,卡波纳拉意大利面碗.
926220E74206F51AA932D385A8D2878C,A bowl of stew.,满满一碗炖菜.
AD9FA575405D9D5CF1DF66950D72196E,A box full of bauxite powder. Don't breathe this!<cf><cf>Used in advanced crafting recipes.,一盒铝土矿粉。小心别吸进去！<cf><cf>用于高级制造。
897F3E1B44F264711B403D968862D62B,A box full of graphite powder. Don't breathe this!<cf><cf>Used in advanced crafting recipes.,一盒石墨粉。小心别吸进去！<cf><cf>用于高级制造。
CCBACBE04039745799CFF593B94E4EB1,A box full of limestone powder. Don't breathe this!<cf><cf>Used in advanced crafting recipes.,一盒石灰岩粉。小心别吸进去！<cf><cf>用于高级制造。
CF6F286541ACC43728DA8BAAD3666FC9,A box of .357 Magnum rounds.,一盒 .357 麦格农子弹。
0500E14F4FDB99A36FFAC4A6ED2C9085,A box of .38 Special rounds.,一盒 .38 特殊子弹。
1E5A85FE47736609A6B6058B410DF452,A box of .45 ACP rounds.,一盒 .45 ACP 子弹。
BD4CAFD141C74CA314A2E1B2408C9E24,A box of .50 BMG rounds.,一盒 .50 BMG 子弹。
0B8F652848C7E3C2BB6FD482662B476D,A box of 12 Gauge rounds.,一盒12号子弹。
FFBEF1814997857666FBF1AF83B21B94,A box of 5.56mm rounds.,一盒 5.56 毫米子弹。
B9BEB8524369F4A6591D5084E70C8CDA,A box of 5.7x28mm rounds.,一盒 5.7x28 毫米子弹。
E53300CD401E0BBFD245728C298AA0AB,A box of 7.62mm rounds.,一盒 7.62 毫米子弹。
2B3DC6EBA0B1471994EB5B1815475A5C,A box of 9mm rounds.,一盒 9 毫米子弹。
3D93960D4618D96A8D52F38C7BF8E8D0,A box of almonds.,一盒杏仁.
5FD709FE48B925B6DA692984D05CDC91,"A box of beef broth, usually has broth in it. Would be better in a soup!",牛肉花的盒子.里面大多装着汤.做成汤的话会更好喝哦！
FA5899454CF076B61E7C64AA14FE6121,A box of beef patties.,牛肉派的盒子.
B8DC79BE41EFCDF3771B49AEFCE3AC61,A box of breadsticks.,一盒面包棒.
9A2C73364BFDB2E26FA70DA886D2877E,A box of cashews.,一盒腰果.
090323304A89067512C3DB82141E942A,A box of cereal.,一盒串烧.
573E82624C049C3A0B7E47BA7C071AAF,A box of cereal.,一盒串烧.
E075D32D4615AE41606C1FA29E3F7BDA,A box of cereal.,一盒串烧.
484DE67D47517D9E3A2EBDBF3F4E7E23,A box of chalk sticks.,一盒粉笔.
27F88F8E45F67AC9945C67AD888F91E8,"A box of chicken broth, usually has broth in it. Would be better in a soup!",鸡肉布鲁斯的盒子里通常装着汤.做成汤的话会更好喝哦！
C27E659340B44AC6175D0B843DDBE619,A box of chicken noodles. Would be better cooked.,鸡肉面的盒子.我觉得还是多做点料理比较好.
2B56AC174A8D96B663EE0BAF66A0A95C,A box of chocolate boom tarts.,巧克力蛋糕的盒子.
A06CC67C4BA4D3B9461015B25E0241B6,A box of chocolate chip cookies.,巧克力曲奇盒.
8A454CD64D9806922D480C917AEB9EED,A box of citrus cakes.,柑橘类蛋糕的盒子.
8299B68042AB2D22B1B641B6001C3794,A box of crackers.,饼干盒.
ACAE709F408E5A9C1471E5A3D7A8D34D,A box of crackers.,饼干盒.
AD7BA18347BAF8501C67659E286BF7BD,A box of crackers.,饼干盒.
059C4A624FADA0DCA6D48F956DD85732,A box of fancy chocolate with nuts. Expensive!,坚果高级巧克力的盒子.太贵了！
BC1DC1184D863FE6EF9801ADA8BE9C66,A box of fancy dark chocolate. Expensive!,高级黑巧克力的盒子.太贵了！
250567FC4050B467A72ED6A09DE27BB8,A box of fancy milk chocolate. Expensive!,高级牛奶巧克力的盒子.太贵了！
C210625D4C1AEBF7787C9DBD451FDBA5,A box of flash-frozen fish.,快速冷冻的鱼盒.
E6084A7B40FFD8BFB9184ABB08250C59,A box of flash-frozen waffles.,一盒快速冷冻华夫饼.
52CD822C4489CC95C30972B437D76286,A box of handmade screws.,手工制作的螺丝盒.
FEBA24F14A815C897B5092B7947064A1,A box of handmade springs.,手工制作的弹簧盒.
7364742040CBDDD9B3CEA59FC519AFCF,A box of hazelnut cookies.,榛子饼干盒.
C2F5F286422CC029DE3902BAC24177FF,A box of hazelnuts.,一盒榛子.
FA048FDC4B16FB52F6821F9D8C08DFDD,A box of hot chocolate mix.,一盒热巧克力混合料.
87A8554142D18DB277CBAE8DD0E8BF37,"A box of mac & cheese, but organic. Would be better cooked.","通心粉和奶酪的盒子.虽然是有机的,但我觉得多做一些会更好吃."
6F056FB04D0A63F34DA871A055C615A5,A box of mac & cheese. Would be better cooked.,通心粉和奶酪的盒子.我觉得多做一些会更好吃.
0716E2FC4ADC360A83B56A866667EC0D,A box of nails.,钉子箱.
4B894D364612C4FBCD633A81E354789D,A box of oatmeal.,燕麦片盒子.
B7266CE84B7C8CCDBD5BC3973D92A2D0,A box of oatmeal.,燕麦片盒子.
C3C91B5F4A630E26CF99D49E06B99D83,A box of oatmeal.,燕麦片盒子.
ADF10FB74F3005BD082EF99FE5A2894D,A box of peanuts.,一盒花生.
95BF5A464FF99D577829519C02B49633,A box of penne. Would be better if it was cooked.,一盒意大利面。煮熟了吃更好。
BD477246461A1D0A99F2229C0110C949,A box of pineapple citrus cakes.,菠萝柠檬蛋糕盒.
1D211CF04DC0DB5552D7DB8DA2119A70,A box of pistachios.,开心果盒子.
3DC9849D4C46C59155C933A88A289EC8,A box of plain boom tarts.,普通蛋糕的盒子.
DBE1A9584B7ECF54B8CCDE8EA82F3F69,A box of powdered detergent.,一盒粉末清洁剂.
DD4FA9B249F66910D46D9B8E0A9E7370,A box of screws.,一盒螺丝
AFEACDBA4BA3304CDC542E9FBD7B29A5,A box of spaghetti. Would be better if it was cooked.,一盒意大利面。煮熟了吃更好。
A31EA39E41C221187075CFB1FD03DC8D,A box of springs.,一盒弹簧。
AC3AB6614C2ABC853F254A9F446A580D,A box of strawberry boom tarts.,一盒草莓蛋糕。
09D90C7D49A70A1DE2B767B8E48FF7E7,"A box of strong, heavy bolts.",一盒强大而沉重的螺栓箱.
DBBCCC3246749F7217EAECA9D1BB26EC,"A box of strong, heavy bolts.",一盒强大而沉重的螺栓箱.
C15B2E434604C8DBEF04F386144A8C73,A box of tea bags.,一盒茶包。
BFCF3DD94CD021AAFE8E10BD03AF79B4,A box of tissues.,一盒纸巾。
7632992E40965665222768B4E61504ED,A box of tortillas.,一盒玉米饼。
D8E12675444338F8FB9537A3AE70FAD9,A box of vanilla biscuits.,一盒香草味饼干。
772650FC4BEC89F3BF78B18468920AEB,"A box of vegetable broth, usually has broth in it. Would be better in a soup!",一盒蔬菜汤，通常里面有肉汤。但做成羹的话会更好喝哦！
5B2628D5478F2E2AD3676FBFAA7DD24E,A box of walnuts.,一盒核桃。
68400B2E494D7A11C79CC08FB41BA2F6,A box of wheat biscuits.,一盒小麦饼干。
1B27DC234E3B4CDF5E2A2EB5A2F4CB6F,A box of zitoni tagliati. Would be better if it was cooked.,一盒意大利饺子。煮熟了吃更好。
5FB38A234212E9E85DFC7D870F38FC3C,A box with enchilada ingredients.,一盒辣酱卷饼配料。
224052464DE4466827E2B88040F93013,A box with fajita ingredients.,一盒法吉塔配料。
49CF7D124164E3BEA2AB7593B9D44118,A box with fajita ingredients.,一盒法吉塔配料。
0906418049B2C0D7CEB5C4BB2DD85BD6,A brass instrument used since 1500 BC.,从公元前 1500 年开始使用的金管乐器.
4EE258C048E6CD2A6BAAC99787A5C276,A bratwurst roll.,一个小香肠卷。
C2B63D2A42BF3298670C7CAC65E38470,A bright hawaiian shirt. Doesn't really fit...,一件鲜艳的夏威夷衬衫.虽然尺寸有点不合适……
9939DE2948328D8D931A35A524E963D8,A broccoli.,一颗西兰花。
1ED48AD74F6EFE55129222B82690DE43,A broken bottle.,破碎的瓶子.
11A1218C4D90AEC3478187A695345F93,A broken bottle. Great for bar fights or heated disagreements!,破碎的瓶子.非常适合在酒吧打架或激烈争吵时使用！
2ACD9BB948B379D650E54888B8986E82,A brush used when shaving.,用来刮胡子的刷子.
4ECD32EA4796A77EFF47D7AD073C682C,"A bundle of hay used for feeding some farm animals, or yourself.",一束干草，用于喂养农场里的动物或自己。
7AFBE3244A4AC7416E7652BAB55C5B3C,A bundle of rolled rubber that acts as a great insulator.,一束卷起的橡胶，作为优质绝缘体发挥作用。
7DDB2C4F460D6207F77BA4A3D78DB67A,A bundle of rolled rubber that acts as a great insulator.,一束卷起的橡胶，作为优质绝缘体发挥作用。
AA5C919B4602381DA0CED89B4129D2F4,A bundle of thread.<cf><cf>Useful in crafting.,一束线。<cf><cf>对制造很有用。
C4440CDB4FE8DD447FA90CA37BDD2AB0,A bundle of timing belts. An essential engine part for a car. <cf><cf>Can be installed into a car's engine using the correct tools.,一束正时皮带。汽车发动机的重要零件。<cf><cf>使用合适的工具可以将其安装到汽车发动机中。
4EB980604B93827CC0BFAAA871C2688F,A bundle of usable copper wire.,一束可使用的铜线束。
F173FEC44FA950BADF4DF581969AD3C6,A bundle of usable copper wire.,一束可使用的铜线束。
EDF8D8A4401F498459E99986126EE1B6,A bundle of wires.,一束电线。
607526A5486DB50C54385E9E7C3002F0,A button-up shirt.,一件纽扣领衬衫。
392E001549AEFEC07B1CA7B231AA526E,A cabbage.,一颗卷心菜。
0C6BD8C1416F40EE4E46D48B5F679D38,A cabin in the middle of nowhere. Are you sure you want to be this far away from everyone?,位于空无一物之地正中央的小屋.你真的想住在这么远的地方吗？
1D25A2E04505FEF0E7F2C3B891874426,A cabin near Chazy Lake.,恰吉湖附近的小屋.
FF05B32943258CC4672FE099F974833F,A cabin resort.,小木屋度假村.
1A23DA3E47700A0D9D9760B01D7AE966,A cabin with a secret.,一间秘密小屋.
212D229942D641C7CD260CA643C4C99E,A can full of corn.,装满玉米的罐头.
A633A72846B02E0BA713949243B8C288,A can full of peas.,装满豌豆的罐头.
4A3D90184F6FE76F875C90A74DFD68CD,A can of bean soup.,豆汤罐头.
671ED91E4DC65EA8905D10A2E44C7444,A can of chicken noodle soup.,鸡汤罐头.
32546D884A1AF3CD89C6E4B7992DFC10,"A can of chicken soup, but without the noodles!","这是罐装鸡汤,但没有放面条."
